,city,cloudiness,country,date,humidity,lat,lon,temp,wind_speed
272,Doha,0,QA,<class 'datetime.date'>,17,25.29,51.53,114.8,4.7
273,Havelock,1,US,<class 'datetime.date'>,40,34.88,-76.9,91.0,3.53
274,Grindavik,90,IS,<class 'datetime.date'>,100,63.84,-22.43,62.6,20.8
275,Cordoba,6,AR,<class 'datetime.date'>,7,-27.78,-67.24,72.85,12.41
276,Vardo,1,US,<class 'datetime.date'>,61,39.62,-77.74,87.01,1.5
277,Sao Francisco de Paula,40,BR,<class 'datetime.date'>,87,-29.45,-50.58,59.0,6.93
278,Naze,99,NG,<class 'datetime.date'>,91,5.43,7.07,76.27,4.81
279,Sibu,75,MY,<class 'datetime.date'>,94,2.29,111.83,77.0,5.82
280,Olinda,0,AU,<class 'datetime.date'>,66,-37.84,145.39,57.0,26.4
281,Haikou,40,CN,<class 'datetime.date'>,89,20.04,110.34,84.2,4.47
282,Chifeng,100,CN,<class 'datetime.date'>,67,42.27,118.96,69.07,4.09
283,Uarini,40,BR,<class 'datetime.date'>,78,-2.98,-65.16,82.4,5.82
284,Margate,0,AU,<class 'datetime.date'>,66,-43.03,147.26,57.0,14.99
285,Guia de Isora,75,ES,<class 'datetime.date'>,57,28.21,-16.78,78.01,14.99
286,Srednekolymsk,100,RU,<class 'datetime.date'>,51,67.46,153.71,51.07,13.38
287,Solnechnyy,67,RU,<class 'datetime.date'>,77,50.72,136.64,48.91,3.53
288,Kuandian,74,CN,<class 'datetime.date'>,76,40.73,124.78,60.97,1.43
289,Beringovskiy,33,RU,<class 'datetime.date'>,89,63.05,179.32,43.15,3.87
290,Acheng,40,CN,<class 'datetime.date'>,77,45.55,126.95,68.0,8.95
291,Waipawa,0,NZ,<class 'datetime.date'>,94,-39.94,176.59,28.99,1.3
292,Caldas Novas,33,BR,<class 'datetime.date'>,41,-17.75,-48.62,80.41,7.07
293,Parana,75,BR,<class 'datetime.date'>,88,-7.52,-72.89,78.8,6.93
294,Karratha,26,AU,<class 'datetime.date'>,69,-20.74,116.85,71.41,14.23
295,Sao Joao da Barra,0,BR,<class 'datetime.date'>,48,-21.64,-41.05,86.0,9.17
296,Qatana,0,SY,<class 'datetime.date'>,9,33.43,36.09,100.4,23.04
297,Vaitape,6,PF,<class 'datetime.date'>,72,-16.52,-151.75,79.51,3.44
298,Chuy,0,UY,<class 'datetime.date'>,62,-33.69,-53.46,52.33,9.26
299,Coihaique,59,CL,<class 'datetime.date'>,86,-45.58,-72.07,33.8,1.3
300,Batticaloa,92,LK,<class 'datetime.date'>,66,7.71,81.69,82.03,5.28
301,Hamilton,75,CA,<class 'datetime.date'>,73,43.26,-79.87,82.99,3.36
302,Genhe,27,CN,<class 'datetime.date'>,93,50.78,121.52,46.21,1.99
303,Torbay,40,CA,<class 'datetime.date'>,62,47.66,-52.73,64.99,4.7
304,Ishigaki,0,JP,<class 'datetime.date'>,84,24.34,124.16,83.47,19.48
305,Tambo,75,PE,<class 'datetime.date'>,44,-12.95,-74.02,59.0,2.24
306,Ahipara,0,NZ,<class 'datetime.date'>,77,-35.17,173.16,57.19,11.05
307,Kavaratti,12,IN,<class 'datetime.date'>,75,10.57,72.64,84.19,17.18
308,Hithadhoo,100,MV,<class 'datetime.date'>,71,-0.6,73.08,83.83,6.4
309,Englehart,1,CA,<class 'datetime.date'>,60,47.82,-79.87,71.6,6.93
310,Gladstone,0,AU,<class 'datetime.date'>,63,-23.84,151.26,66.2,8.05
311,Kropotkin,76,RU,<class 'datetime.date'>,49,45.43,40.58,85.99,5.3
312,Alhama de Murcia,0,ES,<class 'datetime.date'>,33,37.85,-1.43,91.4,16.11
